epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.97002,2.36035,6.15383,1.60889,0.00033,0.1,0.00046,0.00019,2.23638,7.46714,1.42192,0,0,0
2,5.99386,2.09095,5.41545,1.52854,0.00033,0.1,0.00055,0.00022,2.2406,7.34055,1.41487,1.802e-05,1.802e-05,1.802e-05
3,8.82116,2.45372,6.35362,1.58619,0.00033,0.1,0.00075,0.00032,2.23301,7.13677,1.39466,3.208e-05,3.208e-05,3.208e-05
4,11.6973,2.06931,6.04857,1.68136,0.00067,0.2,0.00138,0.00063,2.21273,6.9623,1.37206,4.218e-05,4.218e-05,4.218e-05
5,14.398,2.02359,5.42766,1.4807,0.00067,0.2,0.00313,0.00129,2.14675,6.88455,1.3387,4.832e-05,4.832e-05,4.832e-05
6,17.1006,1.74642,5.02964,1.26879,0.00067,0.2,0.00593,0.00243,2.1049,6.78914,1.32199,5.05e-05,5.05e-05,5.05e-05
7,19.8102,1.77313,5.34439,1.47729,0.001,0.3,0.00787,0.00113,2.04047,6.80461,1.29212,4.872e-05,4.872e-05,4.872e-05
8,22.5272,1.75798,4.5889,1.26306,0.001,0.3,0.01414,0.0045,2.04224,6.91607,1.28493,4.298e-05,4.298e-05,4.298e-05
9,25.2599,1.77443,5.11516,1.3552,0.00133,0.4,0.02462,0.00995,2.0441,6.75786,1.28759,3.328e-05,3.328e-05,3.328e-05
10,28.0168,1.42122,4.65361,1.1667,0.00133,0.4,0.03254,0.01312,2.02466,6.60256,1.28539,1.962e-05,1.962e-05,1.962e-05
